VCD info: dumpfile waveforms/pll_full.vcd opened for output.

============================================
PLL STARTED
Reference clock = 10 MHz
TDC clock       = 200 MHz
Control clock   = 50 MHz
Divider         = 4
Initial VCO target approximately 40 MHz
Stable-lock requirement = 1000 ctrl cycles = 20.00 us
============================================

time=27010000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=27110000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=27210000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=27310000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=27410000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=27510000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=27610000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=27710000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=27810000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=27910000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=28010000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=28110000 state=2 error=16 tuning=608 kp=0 ki=0 locked=0
time=28230000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=28330000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=28430000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=28530000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=28630000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=28730000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=28830000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=28930000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=29030000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=29130000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=29230000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=29330000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=29430000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=29530000 state=2 error=17 tuning=608 kp=0 ki=0 locked=0
time=29630000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=29730000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=29830000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=29930000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=30030000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=30130000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=30230000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=30330000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=30430000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=30530000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=30630000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=30730000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=30830000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=30930000 state=2 error=18 tuning=608 kp=0 ki=0 locked=0
time=31030000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=31130000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=31230000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=31330000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=31430000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=31530000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=31630000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=31730000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=31830000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=31930000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=32030000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=32130000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
time=32230000 state=2 error=19 tuning=608 kp=0 ki=0 locked=0
